
Id,YellowKey,Date,DiscountFactor
S0023D 1Y BLC2,Curncy,2014-02-21,0.99737
S0023D 1Y BLC2,Curncy,2014-02-28,0.997345
S0023D 1Y BLC2,Curncy,2014-03-07,0.997235
S0023D 1Y BLC2,Curncy,2014-03-14,0.997246
S0023D 1Y BLC2,Curncy,2014-03-21,0.997123
S0023D 1Y BLC2,Curncy,2014-03-28,0.997229
S0023D 1Y BLC2,Curncy,2014-04-04,0.997308
S0023D 1Y BLC2,Curncy,2014-04-11,0.997439
S0023D 1Y BLC2,Curncy,2014-04-18,0.997383
S0023D 1Y BLC2,Curncy,2014-04-25,0.997359
S0023D 1Y BLC2,Curncy,2014-05-02,0.997337
S0023D 1Y BLC2,Curncy,2014-05-09,0.997442
S0023D 1Y BLC2,Curncy,2014-05-16,0.99746
S0023D 1Y BLC2,Curncy,2014-05-23,0.997354
S0023D 2Y BLC2,Curncy,2013-05-03,0.993064
S0023D 2Y BLC2,Curncy,2013-05-10,0.992767
S0023D 2Y BLC2,Curncy,2013-05-17,0.992372
S0023D 2Y BLC2,Curncy,2013-05-24,0.992067
S0023D 2Y BLC2,Curncy,2013-05-31,0.990696
S0023D 2Y BLC2,Curncy,2013-06-07,0.990574
S0023D 2Y BLC2,Curncy,2013-06-14,0.99152
S0023D 2Y BLC2,Curncy,2013-06-21,0.988938
S0023D 2Y BLC2,Curncy,2013-06-28,0.98989
S0023D 2Y BLC2,Curncy,2013-07-05,0.988503
S0023D 2Y BLC2,Curncy,2013-07-12,0.989555
S0023D 2Y BLC2,Curncy,2013-07-19,0.990553
S0023D 2Y BLC2,Curncy,2013-07-26,0.990612
S0023D 2Y BLC2,Curncy,2013-08-02,0.990676
S0023D 2Y BLC2,Curncy,2013-08-09,0.990554
S0023D 2Y BLC2,Curncy,2013-08-16,0.9895
S0023D 2Y BLC2,Curncy,2013-08-23,0.988737
S0023D 2Y BLC2,Curncy,2013-08-30,0.988974
S0023D 2Y BLC2,Curncy,2013-09-06,0.987737
S0023D 2Y BLC2,Curncy,2013-09-13,0.988178
S0023D 2Y BLC2,Curncy,2013-09-20,0.990376
S0023D 2Y BLC2,Curncy,2013-09-27,0.99079
S0023D 2Y BLC2,Curncy,2013-10-04,0.990919
S0023D 2Y BLC2,Curncy,2013-10-11,0.990611
S0023D 2Y BLC2,Curncy,2013-10-18,0.991168
S0023D 2Y BLC2,Curncy,2013-10-25,0.991457
S0023D 2Y BLC2,Curncy,2013-11-01,0.991547
S0023D 2Y BLC2,Curncy,2013-11-08,0.991615
S0023D 2Y BLC2,Curncy,2013-11-15,0.992238
S0023D 2Y BLC2,Curncy,2013-11-22,0.992571
S0023D 2Y BLC2,Curncy,2013-11-29,0.992592
S0023D 2Y BLC2,Curncy,2013-12-06,0.992162
S0023D 2Y BLC2,Curncy,2013-12-13,0.991586
S0023D 2Y BLC2,Curncy,2013-12-20,0.991102
S0023D 2Y BLC2,Curncy,2013-12-27,0.990453
S0023D 2Y BLC2,Curncy,2014-01-03,0.990058
S0023D 2Y BLC2,Curncy,2014-01-10,0.990191
S0023D 2Y BLC2,Curncy,2014-01-17,0.98986
S0023D 2Y BLC2,Curncy,2014-01-24,0.990201
S0023D 2Y BLC2,Curncy,2014-01-31,0.990925
S0023D 2Y BLC2,Curncy,2014-02-07,0.991584
S0023D 2Y BLC2,Curncy,2014-02-14,0.991186
S0023D 2Y BLC2,Curncy,2014-02-21,0.991087
S0023D 2Y BLC2,Curncy,2014-02-28,0.991087
S0023D 2Y BLC2,Curncy,2014-03-07,0.989942
S0023D 2Y BLC2,Curncy,2014-03-14,0.9905
S0023D 2Y BLC2,Curncy,2014-03-21,0.988736
S0023D 2Y BLC2,Curncy,2014-03-28,0.988772
S0023D 2Y BLC2,Curncy,2014-04-04,0.989299
S0023D 2Y BLC2,Curncy,2014-04-11,0.99032
S0023D 2Y BLC2,Curncy,2014-04-18,0.989173
S0023D 2Y BLC2,Curncy,2014-04-25,0.989212
S0023D 2Y BLC2,Curncy,2014-05-02,0.988816
S0023D 2Y BLC2,Curncy,2014-05-09,0.989664
S0023D 2Y BLC2,Curncy,2014-05-16,0.98992
S0023D 2Y BLC2,Curncy,2014-05-23,0.989853
S0023D 3Y BLC2,Curncy,2013-05-03,0.986241
