,UK OIS spot curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
years:,0.08,0.17,0.25,0.33,0.42,0.50,0.58,0.67,0.75,0.83,0.92,1.00,1.08,1.17,1.25,1.33,1.42,1.50,1.58,1.67,1.75,1.83,1.92,2.00,2.08,2.17,2.25,2.33,2.42,2.50,2.58,2.67,2.75,2.83,2.92,3.00,3.08,3.17,3.25,3.33,3.42,3.50,3.58,3.67,3.75,3.83,3.92,4.00,4.08,4.17,4.25,4.33,4.42,4.50,4.58,4.67,4.75,4.83,4.92,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Dec 13,0.42265896065900100,0.42389106191763300,0.42484361520976300,0.42568788011505200,0.42652358862604800,0.42738312415986500,0.42828519603053100,0.42928789226469800,0.43051144023748900,0.43213042785011800,0.43435107497071100,0.43737208672141700,0.44138216386387200,0.44654980556890500,0.45299741177077600,0.46081215056384700,0.47005632046017000,0.48077425860679500,0.49299602492120600,0.50672836775854700,0.52194690737823100,0.53860187425392300,0.55662362858594100,0.57592679994153200,0.59641405078343100,0.61798557049092400,0.64054697465303300,0.66400905325962200,0.68828687856402800,0.71329909137246900,0.73896732547102200,0.76521573997250500,0.79197063669120900,0.81916014503975600,0.84671396094361400,0.87456312926985900,0.90264011433422800,0.93088159537879900,0.95923104805744200,0.98763819909684900,1.01605826397087000,1.04445129347824000,1.07278161149550000,1.10101732939994000,1.12912992523626000,1.15709387777437000,1.18488634728338000,1.21248689620869000,1.23987726153202000,1.26704134486682000,1.29396521885041000,1.32063693982044000,1.34704636067335000,1.37318496451633000,1.39904571646640000,1.42462293132802000,1.44991215519953000,1.47491005932707000,1.49961434475311000,1.52402365650007000
16 Dec 13,0.42273539771803000,0.42358925057959700,0.42433030991191000,0.42505016159110100,0.42579031878798800,0.42655623885651600,0.42735264168473300,0.42821246049197800,0.42922236936905700,0.43051793077143900,0.43228005199653000,0.43471754061385600,0.43807684095036900,0.44259903135763300,0.44845356832320300,0.45575445161642900,0.46457653508793300,0.47496640053583200,0.48694863476371000,0.50051974029860000,0.51564417470409900,0.53226075293113100,0.55028822179895800,0.56962944085594100,0.59017539118687400,0.61181625289118700,0.63445002089932900,0.65798185174683400,0.68232282881482200,0.70738897452238500,0.73310045370758500,0.75938092637447400,0.78615701812248600,0.81335788402948300,0.84091484729768600,0.86876109812528600,0.89683166226922200,0.92506576501074300,0.95340902021668200,0.98181289754622000,1.01023400833013000,1.03863349346699000,1.06697649672930000,1.09523170989140000,1.12337097850708000,1.15136895910742000,1.17920282016071000,1.20685198041228000,1.23429789520109000,1.26152408393823000,1.28851620874805000,1.31526190156975000,1.34175057832787000,1.36797327374846000,1.39392249419536000,1.41959208627391000,1.44497711926590000,1.47007377972650000,1.49487927680001000,1.51939175700411000
17 Dec 13,0.42340189963167100,0.42417826333945100,0.42447769929817400,0.42482235632592600,0.42530648180350000,0.42594413837191700,0.42666937292352100,0.42738866820823400,0.42811595805657900,0.42898370046521200,0.43020257521591300,0.43203883978924300,0.43479883685333400,0.43875987263389300,0.44411133134191700,0.45097614450539100,0.45943033587606100,0.46951605136719900,0.48124946817672200,0.49461726191729900,0.50957441949712100,0.52605067927655900,0.54395601988290000,0.56318477682140200,0.58361967827821200,0.60514367245434700,0.62764912660323000,0.65103695503787200,0.67521514549989600,0.70009758025476300,0.72560308536213400,0.75165465820802200,0.77817883548563700,0.80510517270904900,0.83236581295306100,0.85989512746976000,0.88762957695847900,0.91550977646883500,0.94348278988776600,0.97150165520523500,0.99952465598608500,1.02751469689683000,1.05543876636826000,1.08326747253131000,1.11097464102818000,1.13853696528282000,1.16593370141777000,1.19314640130641000,1.22015868650403000,1.24695614863926000,1.27352627775864000,1.29985829285706000,1.32594297876968000,1.35177254118667000,1.37734047748461000,1.40264146139733000,1.42767123982667000,1.45242654032800000,1.47690498800402000,1.50110503070909000
18 Dec 13,0.42515942070450300,0.42673570489591300,0.42841441694982800,0.43007593737812300,0.43186859842333400,0.43401112495139000,0.43662286333080200,0.43969016329489500,0.44319575263893200,0.44719490406683000,0.45180086669429000,0.45716569696919100,0.46347785579011000,0.47091678788022500,0.47960966873593900,0.48964365127033900,0.50107763716123100,0.51395012441639500,0.52828332198304600,0.54407471904567700,0.56129148259406800,0.57987639870801200,0.59975317275513100,0.62083040453923700,0.64300538481471300,0.66617447146683200,0.69024115987422200,0.71511550067935500,0.74071296957064300,0.76695356310809800,0.79376106955051600,0.82106247640252900,0.84878748568038300,0.87686811471906800,0.90523836541248900,0.93383394858027700,0.96259224522054700,0.99145458942115100,1.02036857616680000,1.04928757976330000,1.07817004904653000,1.10697890327175000,1.13568101229736000,1.16424674765274000,1.19264959346371000,1.22086580812682000,1.24887412917415000,1.27665551503003000,1.30419293784041000,1.33147141305302000,1.35847804235505000,1.38520183691827000,1.41163353725899000,1.43776545311361000,1.46359132078218000,1.48910617575671000,1.51430623875693000,1.53918881355549000,1.56375219519381000,1.58799558737637000
19 Dec 13,0.42750835777491900,0.42763320342134600,0.42796387022298800,0.42866187573445100,0.43040596362741600,0.43352267911541900,0.43780945255971200,0.44289969970878300,0.44856165184638600,0.45474955521963700,0.46155531297895400,0.46915978193626900,0.47779305379671400,0.48766261348276200,0.49890292502534700,0.51159323816917200,0.52577382786866200,0.54145682061853600,0.55863288566767400,0.57726946215257300,0.59730973222987000,0.61867759165921400,0.64128184249826000,0.66501933762390700,0.68977796420766800,0.71544600180309200,0.74192053469955300,0.76910677718835500,0.79691667185081000,0.82526776817655900,0.85408231822353700,0.88328654184167100,0.91281002549226300,0.94258522715810200,0.97254706612609700,1.00263258113948000,1.03278086350959000,1.06293537678188000,1.09304610717204000,1.12306901240600000,1.15296529348721000,1.18270077049697000,1.21224534549233000,1.24157253864523000,1.27065908622969000,1.29948459104557000,1.32803121746894000,1.35628342462126000,1.38422774409763000,1.41185271384759000,1.43914883012361000,1.46610837375372000,1.49272524178539000,1.51899479783552000,1.54491373876602000,1.57047997564400000,1.59569252723261000,1.62055142449994000,1.64505762483899000,1.66921293486559000
20 Dec 13,0.42666877542669500,0.42858627471385100,0.42970973269208200,0.43083449487908300,0.43267921247767600,0.43551911712819000,0.43937620253543900,0.44422742218938100,0.45006500406119500,0.45691469058274700,0.46483932213656900,0.47392580891788800,0.48428474608921000,0.49602140842593500,0.50920044348542100,0.52385461285186800,0.53999417030978500,0.55761311401055700,0.57669264405587700,0.59719444613529600,0.61905482144342200,0.64218940458708300,0.66649765631689300,0.69186623308062000,0.71817235670347200,0.74529505138629500,0.77312455833387800,0.80156127222129000,0.83051399059648200,0.85989851340146100,0.88963651355391200,0.91965461929474200,0.94988366338151800,0.98025806477721600,1.01071531633515000,1.04119555786975000,1.07164142912473000,1.10200022606345000,1.13222590549165000,1.16227850596483000,1.19212340611171000,1.22173068891124000,1.25107459467513000,1.28013304862362000,1.30888725145129000,1.33732132329718000,1.36542199316557000,1.39317832716927000,1.42058148551312000,1.44762445922674000,1.47430183394346000,1.50060963101233000,1.52654517205326000,1.55210695856154000,1.57729456464647000,1.60210854126224000,1.62655033051979000,1.65062218886293000,1.67432711805710000,1.69766880307925000
23 Dec 13,0.42741788645793400,0.42982609813450200,0.43140584736942700,0.43304333078257800,0.43549151943764600,0.43927906663389500,0.44460048308475400,0.45142348856434500,0.45966775701257500,0.46927329663003500,0.48022589594006700,0.49255198962005600,0.50629928067852800,0.52151183741144700,0.53820223957928500,0.55635879814993900,0.57595269317889900,0.59694273239596000,0.61927780574030200,0.64289138002192700,0.66769783444160400,0.69359619190548900,0.72047345735004100,0.74820712148569500,0.77666805072042700,0.80573220131576300,0.83528973039700100,0.86524334140464900,0.89550612093662400,0.92599980822200000,0.95665339953536300,0.98740201428343900,1.01818596725779000,1.04895000460765000,1.07964267078881000,1.11021578102107000,1.14062413712044000,1.17082699642027000,1.20078944960962000,1.23048188149155000,1.25987932535965000,1.28896090960628000,1.31770938154835000,1.34611069618583000,1.37415365979258000,1.40182961999524000,1.42913219541656000,1.45605703911329000,1.48260161946111000,1.50876483218142000,1.53454657070666000,1.55994758940231000,1.58496942233083000,1.60961431105747000,1.63388514033189000,1.65778538066092000,1.68131903692639000,1.70449060231832000,1.72730501695284000,1.74976763062839000
24 Dec 13,0.42792558355662600,0.43018409337201300,0.43165862984587800,0.43349389023238400,0.43633167849966700,0.44055339324056000,0.44635001574219300,0.45375309857708800,0.46269465788689700,0.47307029645765600,0.48479124800742500,0.49781359542981000,0.51215145947077300,0.52784620572888000,0.54491655873812000,0.56336191435045200,0.58316802464228700,0.60431078785205100,0.62675777978463000,0.65045975522399400,0.67534493246559500,0.70132331131330400,0.72829063362105500,0.75613135369906800,0.78472185583804000,0.81394216024528300,0.84368502766172400,0.87385454142326300,0.90436415528922000,0.93513513170508500,0.96609528233703000,0.99717794475616600,1.02832114518021000,1.05946690896664000,1.09056068930703000,1.12155089113894000,1.15238857104722000,1.18302884724982000,1.21343283193080000,1.24356722581318000,1.27340363676335000,1.30291799560726000,1.33209005346077000,1.36090294760578000,1.38934282524952000,1.41739851635881000,1.44506124826007000,1.47232439591438000,1.49918325682732000,1.52563476312715000,1.55167719635437000,1.57731004158856000,1.60253387390405000,1.62735025744452000,1.65176165550755000,1.67577135026308000,1.69938337092245000,1.72260242933832000,1.74543386215367000,1.76788357873599000
25 Dec 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Dec 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
