,"UK instantaneous commercial bank liability forward curve, short end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
years:,0.08,0.17,0.25,0.33,0.42,0.50,0.58,0.67,0.75,0.83,0.92,1.00,1.08,1.17,1.25,1.33,1.42,1.50,1.58,1.67,1.75,1.83,1.92,2.00,2.08,2.17,2.25,2.33,2.42,2.50,2.58,2.67,2.75,2.83,2.92,3.00,3.08,3.17,3.25,3.33,3.42,3.50,3.58,3.67,3.75,3.83,3.92,4.00,4.08,4.17,4.25,4.33,4.42,4.50,4.58,4.67,4.75,4.83,4.92,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Mar 12,0.87275040279183900,1.12079982412230000,1.23922952878167000,1.25017666100606000,1.21406538435287000,1.16454240798141000,1.12647332971384000,1.10836196355137000,1.10992752338386000,1.13663939001331000,1.18281097019921000,1.23459674813789000,1.28155859980897000,1.32085766196966000,1.35129915897018000,1.37227934732493000,1.38629920036262000,1.39687560387067000,1.40710745012342000,1.41794907873117000,1.42966986299962000,1.44253887561715000,1.45682518927218000,1.47279787665308000,1.49067300332257000,1.51040824319683000,1.53188265359124000,1.55497527334017000,1.57956514127804000,1.60553129623922000,1.63275277705811000,1.66110862256910000,1.69047787160658000,1.72073956300494000,1.75177273559857000,1.78345642822186000,1.81568426342429000,1.84841424975104000,1.88162215872741000,1.91528376245174000,1.94937483302238000,1.98387114253767000,2.01874846309594000,2.05398256679553000,2.08954922573480000,2.12542421201207000,2.16158329772570000,2.19800225497402000,2.23465540839680000,2.27151069220481000,2.30853427759770000,2.34569233571825000,2.38295103770923000,2.42027655471341000,2.45763505787356000,2.49499271833247000,2.53231570723290000,2.56957019571763000,2.60672235492943000,2.64373835601108000
16 Mar 12,0.86934702630703900,1.11809452951550000,1.24127860068909000,1.25352165457145000,1.21808566198510000,1.17287718876076000,1.14077085816819000,1.12829326669543000,1.13520074509039000,1.16706425963936000,1.21886626961315000,1.27677858941770000,1.32995337856779000,1.37497854409782000,1.41030286519296000,1.43508889926682000,1.45189125233168000,1.46427170735411000,1.47534513095931000,1.48615249347009000,1.49713384982422000,1.50872919255251000,1.52137851418580000,1.53552180725489000,1.55151770280949000,1.56936562765264000,1.58896591050361000,1.61021887688511000,1.63302485231988000,1.65728416233062000,1.68289713244004000,1.70976408817087000,1.73778535504582000,1.76686125858761000,1.79689212431895000,1.82777827776255000,1.85942976465695000,1.89179551177162000,1.92483416617588000,1.95850437493903000,1.99276478513037000,2.02757404381920000,2.06289079807482000,2.09867369496652000,2.13488138156359000,2.17147250493534000,2.20840571215107000,2.24563965028006000,2.28313333214149000,2.32084738531520000,2.35874288286592000,2.39678089787284000,2.43492250341513000,2.47312877257194000,2.51136077842247000,2.54957959404588000,2.58774629252134000,2.62582194692802000,2.66376763034510000,2.70154441585174000
19 Mar 12,0.86799919669507400,1.11472940023896000,1.23516944444185000,1.24498080006079000,1.20976611485954000,1.16414584918006000,1.13095000057861000,1.11475187239217000,1.11753923145597000,1.14568557300332000,1.19470273781693000,1.25018440095149000,1.30110920678620000,1.34421888728043000,1.37784362385868000,1.40112477231609000,1.41669760259544000,1.42813787942021000,1.43857237322228000,1.44904501101902000,1.45999621200020000,1.47186633267936000,1.48509572957005000,1.50012475918582000,1.51729779275910000,1.53657525929212000,1.55782160195309000,1.58090126391024000,1.60567868833181000,1.63201831838601000,1.65978459724108000,1.68884196806525000,1.71905487402673000,1.75028775829377000,1.78240506403458000,1.81527123441740000,1.84876657749329000,1.88283486111869000,1.91743571817001000,1.95252878152361000,1.98807368405588000,2.02403005864319000,2.06035753816193000,2.09701575548846000,2.13396434349916000,2.17116293507042000,2.20857116307860000,2.24614866040009000,2.28385632163360000,2.32166183733138000,2.35953517605469000,2.39744630801793000,2.43536520343552000,2.47326183252185000,2.51110616549133000,2.54886817255837000,2.58651782393735000,2.62402508984270000,2.66135994048881000,2.69849234609008000
20 Mar 12,0.86845028894511300,1.11675595854905000,1.23911151338255000,1.25936365546005000,1.24671852738319000,1.23016726380721000,1.21338876215847000,1.18816612957332000,1.15685436214075000,1.14759654722148000,1.16781388560744000,1.20609985090931000,1.25133423243147000,1.29805801824470000,1.34134265610536000,1.37728299848470000,1.40656421496877000,1.43115152462060000,1.45282384613004000,1.47249578248499000,1.49083149956009000,1.50849513722135000,1.52615083533475000,1.54446273376630000,1.56397660064191000,1.58476471576340000,1.60678098651073000,1.62997932026383000,1.65431362440264000,1.67973780630709000,1.70620577335711000,1.73367143293264000,1.76208869241362000,1.79141145917998000,1.82159364061165000,1.85258914408857000,1.88435255258363000,1.91684115145330000,1.95001290165285000,1.98382576413751000,2.01823769986256000,2.05320666978326000,2.08869063485485000,2.12464755603261000,2.16103539427179000,2.19781211052764000,2.23493566575544000,2.27236402091043000,2.31005514064066000,2.34796700759522000,2.38605760990011000,2.42428493568263000,2.46260697307008000,2.50098171018974000,2.53936713516891000,2.57772123613488000,2.61600200121495000,2.65416741853640000,2.69217547622654000,2.72998416241264000
21 Mar 12,0.86297275688540800,1.12136653777813000,1.24407248149788000,1.26301618217098000,1.24851658080189000,1.23082022979977000,1.21446277109672000,1.19128902170771000,1.16390695451055000,1.15441718007942000,1.17308984348826000,1.20950662872503000,1.25253890081428000,1.29699960601644000,1.33814863927416000,1.37215605159676000,1.39975630863042000,1.42305508892475000,1.44398465181427000,1.46349484498681000,1.48219002873856000,1.50067418202126000,1.51955128378665000,1.53942531298650000,1.56078349952258000,1.58364607575209000,1.60791652430972000,1.63349832783022000,1.66029496894830000,1.68820993029869000,1.71714669451613000,1.74700874423534000,1.77769956209104000,1.80912263071797000,1.84118143275086000,1.87377945082443000,1.90682992557955000,1.94029366467572000,1.97414594823189000,2.00836205976924000,2.04291728280893000,2.07778690087214000,2.11294619748004000,2.14837045615382000,2.18403496041463000,2.21991499378366000,2.25598583978208000,2.29222278193106000,2.32860087542861000,2.36509416744194000,2.40167642703959000,2.43832142328111000,2.47500292522609000,2.51169470193409000,2.54837052246469000,2.58500415587746000,2.62156937123197000,2.65803993758779000,2.69438962400449000,2.73059219954165000
22 Mar 12,0.86118354834072500,1.11074802099874000,1.23294862449615000,1.26254588176675000,1.26300259980931000,1.25434468153046000,1.23558453578935000,1.20536597736873000,1.17118682137878000,1.15681005865523000,1.17158179779328000,1.20486849531874000,1.24524855961013000,1.28734156978459000,1.32608708899378000,1.35764213925728000,1.38292670235028000,1.40409384447568000,1.42308828660981000,1.44078518856288000,1.45771809421168000,1.47442039750500000,1.49142549239164000,1.50926677282039000,1.52839627103518000,1.54886940873695000,1.57062093742264000,1.59358558022232000,1.61769806026604000,1.64289310068389000,1.66910542460592000,1.69626975516221000,1.72432081548282000,1.75319332869782000,1.78282201793728000,1.81314160633127000,1.84409153947619000,1.87563211229928000,1.90772937169665000,1.94034936474997000,1.97345813854094000,2.00702174015125000,2.04100621666258000,2.07537761515661000,2.11010198271504000,2.14514536641955000,2.18047381335183000,2.21605337059357000,2.25184993948756000,2.28782877794908000,2.32395496638288000,2.36019358518793000,2.39650971476320000,2.43286843550765000,2.46923482782024000,2.50557397209994000,2.54185094874572000,2.57803083815655000,2.61407872073138000,2.64995967686919000
23 Mar 12,0.86169369069064600,1.10523173313095000,1.22603586933772000,1.25237986122853000,1.24738968790296000,1.23294239330173000,1.20884916936026000,1.17315848195987000,1.13429735365455000,1.11784716070304000,1.13338835223869000,1.16941818691106000,1.21357891631309000,1.25950972743954000,1.30185351210752000,1.33620198347830000,1.36324463423183000,1.38529192714636000,1.40442001993303000,1.42161684529471000,1.43755502067493000,1.45290713077080000,1.46834576027945000,1.48454349389799000,1.50206193462171000,1.52097271036162000,1.54121227358894000,1.56271707241465000,1.58542355494973000,1.60926816930516000,1.63418736359192000,1.66011758592098000,1.68699528440333000,1.71475690714995000,1.74333890227182000,1.77267771787992000,1.80271370524331000,1.83340282833073000,1.86470495430274000,1.89657995031992000,1.92898768354281000,1.96188802113197000,1.99524083024797000,2.02900597805135000,2.06314333170268000,2.09761275836252000,2.13237412519142000,2.16738729934994000,2.20261322236970000,2.23801757905601000,2.27356736280301000,2.30922956704705000,2.34497118522448000,2.38075921077166000,2.41656063712494000,2.45234245772070000,2.48807166599527000,2.52371525538502000,2.55924021932631000,2.59461355125548000
26 Mar 12,0.85937898539069500,1.10280049408187000,1.22733692892476000,1.25369401746563000,1.24836600310053000,1.23221819191708000,1.20365391932723000,1.16339107122553000,1.12271467168717000,1.10805664677282000,1.12692254412931000,1.16735282015456000,1.21613183948141000,1.26603365319820000,1.31202072064533000,1.34901932107742000,1.37746496030051000,1.40007977976773000,1.41929793739833000,1.43621750231535000,1.45154940937988000,1.46600455324801000,1.48029382857582000,1.49512813001943000,1.51109355032198000,1.52827697313726000,1.54664047948725000,1.56614615039394000,1.58675606687931000,1.60843230996535000,1.63113696067405000,1.65483210002739000,1.67947980904736000,1.70504216875595000,1.73148126017514000,1.75875916432692000,1.78683803311939000,1.81568030200619000,1.84524847732772000,1.87550506542438000,1.90641257263654000,1.93793350530460000,1.97003036976894000,2.00266567236994000,2.03580191944800000,2.06940161734350000,2.10342727239682000,2.13784139094835000,2.17260600293005000,2.20768029978027000,2.24302242599929000,2.27859052443334000,2.31434273792861000,2.35023720933135000,2.38623208148775000,2.42228549724404000,2.45835559944643000,2.49440053094114000,2.53037843457439000,2.56624745319240000
27 Mar 12,0.85974358805712200,1.10581386037455000,1.23003601087650000,1.25570435598285000,1.24754340960527000,1.22659993993438000,1.19283153953684000,1.14896617095669000,1.10629449529395000,1.09053319489877000,1.10782429769165000,1.14654179691268000,1.19349011149360000,1.24160398804860000,1.28607327638324000,1.32202249485316000,1.35002939312582000,1.37288784659330000,1.39307369818360000,1.41158732855410000,1.42900160037326000,1.44588933191018000,1.46282334143398000,1.48037644721378000,1.49901775342341000,1.51880150666078000,1.53967823883114000,1.56159848183970000,1.58451276759171000,1.60837162799240000,1.63312559494699000,1.65872520036073000,1.68512097613885000,1.71226345418657000,1.74010316640914000,1.76859064471179000,1.79768076453662000,1.82734577554820000,1.85756227098553000,1.88830684408759000,1.91955608809336000,1.95128659624183000,1.98347496177198000,2.01609777792279000,2.04913163793326000,2.08255313504235000,2.11633886248906000,2.15046541351236000,2.18490737103387000,2.21962848990042000,2.25458889537972000,2.28974871010546000,2.32506805671135000,2.36050705783111000,2.39602583609843000,2.43158451414703000,2.46714321461062000,2.50266206012290000,2.53810117331758000,2.57342067682836000
28 Mar 12,0.85398747385979400,1.10535869001260000,1.22559679848790000,1.24884984690939000,1.24071867148479000,1.21963381335697000,1.18405138340390000,1.13793738605503000,1.09438754705516000,1.07898575023704000,1.09775962180981000,1.13825657809078000,1.18700550938369000,1.23646261699019000,1.28122298078821000,1.31586994351462000,1.34118303534466000,1.36036007168116000,1.37631736824995000,1.39037658793956000,1.40329859771230000,1.41584364553133000,1.42877197935980000,1.44284384716087000,1.45867465363381000,1.47630042875375000,1.49561235839760000,1.51650162844231000,1.53885942476479000,1.56257693324198000,1.58754533975080000,1.61365583016818000,1.64079959037106000,1.66886780623636000,1.69775166364102000,1.72734234846195000,1.75754200503048000,1.78830619648050000,1.81960673883452000,1.85141545193580000,1.88370415562763000,1.91644466975327000,1.94960881415599000,1.98316840867907000,2.01709527316577000,2.05136122745938000,2.08593809140315000,2.12079768484037000,2.15591131310481000,2.19124777346445000,2.22677510009712000,2.26246132700119000,2.29827448817505000,2.33418261761707000,2.37015374932563000,2.40615591729912000,2.44215715553592000,2.47812549803441000,2.51402897879297000,2.54983563180997000
29 Mar 12,0.85703393451225400,1.10441874620468000,1.21969764663311000,1.23921911036995000,1.23042917070785000,1.21079834526371000,1.17592422568478000,1.12961154157396000,1.08621282702382000,1.07160877345180000,1.09123298759914000,1.13227959471103000,1.18116084427221000,1.23021221889189000,1.27376418526263000,1.30685069394484000,1.33045457273105000,1.34775174828504000,1.36161414989420000,1.37334946717816000,1.38376577439064000,1.39367092651458000,1.40387277853294000,1.41517918542866000,1.42827425871555000,1.44323890272857000,1.45997049381865000,1.47836636519343000,1.49832385006057000,1.51974028162771000,1.54251299310250000,1.56653931769259000,1.59171658860562000,1.61794213904925000,1.64511330223112000,1.67312741135888000,1.70189212176861000,1.73136066020994000,1.76149882579573000,1.79227241804441000,1.82364723647438000,1.85558908060405000,1.88806374995182000,1.92103704403611000,1.95447476237533000,1.98834270448788000,2.02260666989217000,2.05723245810662000,2.09218543156327000,2.12742902298801000,2.16292613273360000,2.19863966113562000,2.23453250852963000,2.27056757525118000,2.30670776163585000,2.34291596801919000,2.37915509473677000,2.41538804212415000,2.45157771051690000,2.48768700025058000
30 Mar 12,0.86608222012786100,1.09829218943281000,1.21692265626396000,1.24408081501735000,1.23906718516673000,1.21874858845935000,1.18104025756991000,1.13258401805658000,1.08884968839819000,1.07527691863966000,1.09704328446298000,1.14029851104921000,1.19125123139129000,1.24156095519152000,1.28513901228521000,1.31666828844847000,1.33742875865156000,1.35095608277375000,1.36043481310688000,1.36741901865673000,1.37299033280528000,1.37823033987081000,1.38422062417156000,1.39204277002581000,1.40258637579190000,1.41589343760790000,1.43177211318502000,1.45003055269175000,1.47047690629659000,1.49291932416802000,1.51716595647453000,1.54302495338462000,1.57030446506678000,1.59881264168949000,1.62835763342125000,1.65874759043055000,1.68981594004682000,1.72149721867989000,1.75375124011898000,1.78653781815326000,1.81981676657194000,1.85354789916418000,1.88769102971920000,1.92220597202616000,1.95705253987427000,1.99219054705270000,2.02757980735065000,2.06318013455730000,2.09895433835607000,2.13487845509544000,2.17093217013661000,2.20709516895854000,2.24334713704017000,2.27966775986046000,2.31603672289838000,2.35243371163287000,2.38883841154290000,2.42523050810742000,2.46158968680538000,2.49789563311574000
02 Apr 12,0.85867213535262700,1.09817837805297000,1.21884383352675000,1.24522014938364000,1.24082613045519000,1.22086417049178000,1.18152466642216000,1.13170018925361000,1.08811903604763000,1.07566596933420000,1.09836850412906000,1.14254583789946000,1.19340369635909000,1.24363421234387000,1.28683802442459000,1.31775341677141000,1.33823142642927000,1.35207438203549000,1.36262748625126000,1.37131498555703000,1.37905661755489000,1.38677211771275000,1.39538122149853000,1.40580366438015000,1.41877673358316000,1.43430792126191000,1.45222227027744000,1.47234482349080000,1.49450062376307000,1.51851471395529000,1.54421213692852000,1.57141793554382000,1.59995715266225000,1.62965483114487000,1.66033601385273000,1.69182574364688000,1.72397220740699000,1.75671616848688000,1.79002153445896000,1.82385221289565000,1.85817211136933000,1.89294513745242000,1.92813519871732000,1.96370620273642000,1.99962205708214000,2.03584666932687000,2.07234394704301000,2.10907779780297000,2.14601303780084000,2.18311937729471000,2.22036816703715000,2.25773075897115000,2.29517850503969000,2.33268275718575000,2.37021486735231000,2.40774618748236000,2.44524806951889000,2.48269186540486000,2.52004892708328000,2.55729060649712000
03 Apr 12,0.85679964719659500,1.10012616340055000,1.21986036961513000,1.24482042099321000,1.23808888640823000,1.21448956283038000,1.17124065336587000,1.11971722596487000,1.07687312974746000,1.06705268994923000,1.09266651288866000,1.14021021717431000,1.19441011743497000,1.24762192652361000,1.29310572211672000,1.32521202755659000,1.34587153076227000,1.35911203345927000,1.36848518949722000,1.37554176182572000,1.38130701092207000,1.38680619504036000,1.39306457243473000,1.40110740135927000,1.41176078214847000,1.42505418116409000,1.44081790570107000,1.45888226305436000,1.47907756051893000,1.50123410538973000,1.52518220496171000,1.55075216652984000,1.57777429738907000,1.60607890483436000,1.63549629616067000,1.66585677866295000,1.69700453247019000,1.72886639344846000,1.76139968381912000,1.79456177396810000,1.82831003428133000,1.86260183514475000,1.89739454694428000,1.93264554006585000,1.96831218489539000,2.00435185181884000,2.04072191122212000,2.07737973349116000,2.11428395526861000,2.15139938578405000,2.18869271230464000,2.22613062253900000,2.26367980419575000,2.30130694498351000,2.33897873261091000,2.37666185478657000,2.41432299921910000,2.45192885361714000,2.48944610568931000,2.52684144314422000
04 Apr 12,0.85725349347959400,1.09935835382198000,1.21621206577018000,1.24200513998914000,1.23732509280653000,1.21445164223064000,1.17015823058160000,1.11746629285627000,1.07430008354411000,1.06422955034655000,1.08961446332727000,1.13669156214041000,1.19077209228277000,1.24408884345303000,1.28991324146159000,1.32231721541103000,1.34317651607397000,1.35659238780878000,1.36617438556469000,1.37346586403262000,1.37946752295691000,1.38518005978621000,1.39160417196917000,1.39974055695443000,1.41039525930314000,1.42359570978392000,1.43917468515671000,1.45696496218143000,1.47679931761802000,1.49851052822639000,1.52193137076649000,1.54689462199823000,1.57323305868154000,1.60077945757635000,1.62936659544258000,1.65882724904017000,1.68901038348673000,1.71985215833604000,1.75131796074423000,1.78337319907762000,1.81598328170252000,1.84911361698524000,1.88272961329209000,1.91679667898939000,1.95128022244345000,1.98614565202058000,2.02135837608709000,2.05688380300930000,2.09268764535023000,2.12873695868070000,2.16499916908440000,2.20144170265704000,2.23803198549431000,2.27473744369193000,2.31152550334560000,2.34836359055101000,2.38521913140389000,2.42205955199992000,2.45885227843481000,2.49556473680428000
05 Apr 12,0.84919098949399000,1.10249192023576000,1.22418126910848000,1.25505226568557000,1.25625665074177000,1.23702819730214000,1.19385284016208000,1.14073708270864000,1.09599993605361000,1.08385075786194000,1.10615376911305000,1.14997204947851000,1.20124943350265000,1.25235039037716000,1.29672749674477000,1.32857176499710000,1.34943392711459000,1.36294366319941000,1.37238886925674000,1.37930631938989000,1.38467348248257000,1.38946758195129000,1.39466584121255000,1.40124548368283000,1.41003236711013000,1.42111449326889000,1.43435536856275000,1.44961844662153000,1.46676718107508000,1.48566502555323000,1.50617543368580000,1.52816185910263000,1.55148775543355000,1.57601657630839000,1.60161177535699000,1.62813680620919000,1.65546891127867000,1.68355254869202000,1.71235262723065000,1.74183406048358000,1.77196176203980000,1.80270064548831000,1.83401562441814000,1.86587161241827000,1.89823352307772000,1.93106626998550000,1.96433476673060000,1.99800392690204000,2.03203849614015000,2.06640247860374000,2.10105967388935000,2.13597388158691000,2.17110890128640000,2.20642853257775000,2.24189657505093000,2.27747682829588000,2.31313309190256000,2.34882916546092000,2.38452884856091000,2.42019594079249000
06 Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Apr 12,0.85492798814004800,1.09862137565279000,1.22212634176881000,1.25418827889634000,1.25345211414841000,1.22695777019131000,1.17368396396476000,1.11409219427485000,1.06883363549012000,1.05818681724701000,1.08215887815838000,1.12719731568717000,1.17844993740545000,1.22816739839749000,1.26952224988944000,1.29752415870614000,1.31455002515435000,1.32478186427387000,1.33186663770447000,1.33720288063368000,1.34159861446383000,1.34586185809897000,1.35080063044319000,1.35722295040056000,1.36578136184074000,1.37650650670483000,1.38927355100394000,1.40395766074923000,1.42043400195181000,1.43857774062284000,1.45826404277345000,1.47936807441477000,1.50176500155796000,1.52532999021413000,1.54993820639443000,1.57546481611000000,1.60180115728032000,1.62890325573739000,1.65674330936138000,1.68529351603240000,1.71452607363056000,1.74441318003599000,1.77492703312879000,1.80603983078910000,1.83772377089701000,1.86995105133266000,1.90269386997615000,1.93592442470760000,1.96961306810999000,2.00372115754658000,2.03820731354435000,2.07303015598692000,2.10814830475791000,2.14352037974094000,2.17910500081961000,2.21486078787755000,2.25074636079837000,2.28672033946568000,2.32274134376311000,2.35876799357427000
