Id,YellowKey,Date,DiscountFactor
S0023D 3Y BLC2,Curncy,9/23/2011,0.980873
S0023D 4Y BLC2,Curncy,9/23/2011,0.964807
S0023D 5Y BLC2,Curncy,9/23/2011,0.943427
S0023D 1Y BLC2,Curncy,9/30/2011,0.994664
S0023D 2Y BLC2,Curncy,9/30/2011,0.98858
S0023D 3Y BLC2,Curncy,9/30/2011,0.97824
S0023D 4Y BLC2,Curncy,9/30/2011,0.96119
S0023D 5Y BLC2,Curncy,9/30/2011,0.938876
S0023D 1Y BLC2,Curncy,10/7/2011,0.993959
S0023D 2Y BLC2,Curncy,10/7/2011,0.986465
S0023D 3Y BLC2,Curncy,10/7/2011,0.974389
S0023D 4Y BLC2,Curncy,10/7/2011,0.95495
S0023D 5Y BLC2,Curncy,10/7/2011,0.930415
S0023D 1Y BLC2,Curncy,10/14/2011,0.994301
S0023D 2Y BLC2,Curncy,10/14/2011,0.987002
S0023D 3Y BLC2,Curncy,10/14/2011,0.974562
S0023D 4Y BLC2,Curncy,10/14/2011,0.954655
S0023D 5Y BLC2,Curncy,10/14/2011,0.929155
S0023D 1Y BLC2,Curncy,10/21/2011,0.994108
S0023D 2Y BLC2,Curncy,10/21/2011,0.987067
S0023D 3Y BLC2,Curncy,10/21/2011,0.975543
S0023D 4Y BLC2,Curncy,10/21/2011,0.956225
S0023D 5Y BLC2,Curncy,10/21/2011,0.930757
S0023D 1Y BLC2,Curncy,10/28/2011,0.994684
S0023D 2Y BLC2,Curncy,10/28/2011,0.98836
S0023D 3Y BLC2,Curncy,10/28/2011,0.977227
S0023D 4Y BLC2,Curncy,10/28/2011,0.957154
S0023D 5Y BLC2,Curncy,10/28/2011,0.931135
S0023D 1Y BLC2,Curncy,11/4/2011,0.994447
S0023D 2Y BLC2,Curncy,11/4/2011,0.988544
S0023D 3Y BLC2,Curncy,11/4/2011,0.979269
S0023D 4Y BLC2,Curncy,11/4/2011,0.96306
S0023D 5Y BLC2,Curncy,11/4/2011,0.940875
S0023D 1Y BLC2,Curncy,11/11/2011,0.99345
S0023D 2Y BLC2,Curncy,11/11/2011,0.985821
S0023D 3Y BLC2,Curncy,11/11/2011,0.974886
S0023D 4Y BLC2,Curncy,11/11/2011,0.95943
S0023D 5Y BLC2,Curncy,11/11/2011,0.936964
S0023D 1Y BLC2,Curncy,11/18/2011,0.992449
S0023D 2Y BLC2,Curncy,11/18/2011,0.98436
S0023D 3Y BLC2,Curncy,11/18/2011,0.973658
S0023D 4Y BLC2,Curncy,11/18/2011,0.957
S0023D 5Y BLC2,Curncy,11/18/2011,0.93466
S0023D 1Y BLC2,Curncy,11/25/2011,0.992225
S0023D 2Y BLC2,Curncy,11/25/2011,0.983715
